id,Pais,Ciudad,email,Mobile
1,Poland,Sabnie,cbilbrey0@virginia.edu,Feature phone
2,Peru,Sucre,rscholte1@xinhuanet.com,Feature phone
3,Indonesia,Bangunharja,kmcfarland2@etsy.com,Android 2.2
4,Poland,Wąpielsk,epentercost3@github.com,"Android 10, One UI 2.5"
5,Portugal,Quebradas,kfinlator4@yale.edu,Feature phone
6,Nigeria,Badagry,jbilbrooke5@scribd.com,"Android 4.3, EMUI 1.6"
7,Micronesia,Elato,lmailey6@bloglovin.com,Microsoft Windows Phone 7
8,France,Colmar,druprich7@jiathis.com,Android 7.0
9,China,Fengtang,gbright8@hc360.com,Feature phone
10,Azerbaijan,Vurğun,bcrone9@wordpress.com,"Android 9.0, ColorOS 6"
11,Bulgaria,Isperikh,mgoatmana@census.gov,Android 4.4.2
12,Poland,Myślenice,ctawtonb@bandcamp.com,Android 4.4.2
13,China,Guangfu,bhuntingtonc@dropbox.com,Android 6.0.1
14,Philippines,San Francisco,qhathornd@dailymotion.com,Android 6.0
15,Indonesia,Bugis,wfanthomee@opera.com,Android 5.0
16,Colombia,Ocaña,bsantonf@icq.com,Feature phone
17,United States,Norwalk,jchallenorg@naver.com,"Android 10, up to Android 11, Realme UI 2.0"
18,Portugal,Meirinhas,cringhamh@livejournal.com,Feature phone
19,Portugal,Gandra,fhemberi@ustream.tv,Android 4.4.4
20,Marshall Islands,Enewetak,cbilloj@creativecommons.org,Android 4.4.2
